trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,False,"{'a': 0.65, 'e': 0.794533602503334}",25,0,-78.58616576029091,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.65, 'e': 0.7866278610665535}",30,0,-66.24636969834314,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.65, 'e': 0.7788007830714049}",20,0,-110.31408486294185,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
27,False,"{'a': 0.65, 'e': 0.7710515858035663}",20,2,-36.332783861193825,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.65, 'e': 0.7633794943368531}",25,1,-73.4631306051312,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
29,False,"{'a': 0.65, 'e': 0.7557837414557255}",20,0,-53.762146928214655,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.65, 'e': 0.7482635675785653}",20,0,-68.12537469206117,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
31,False,"{'a': 0.65, 'e': 0.7408182206817179}",35,15,-23.62241599078206,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
32,False,"{'a': 0.65, 'e': 0.7334469562242892}",25,0,-79.94900872096265,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.65, 'e': 0.7261490370736909}",25,0,-100.05530824448074,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.65, 'e': 0.7189237334319262}",30,0,-111.25804744646896,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",1
35,False,"{'a': 0.65, 'e': 0.7117703227626097}",20,0,-74.09464538908831,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.65, 'e': 0.7046880897187134}",20,0,8.040387242988157,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
37,False,"{'a': 0.65, 'e': 0.697676326071031}",20,9,-63.24070971247884,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
38,False,"{'a': 0.65, 'e': 0.6907343306373547}",25,11,-42.906585807878855,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
39,False,"{'a': 0.65, 'e': 0.6838614092123558}",20,0,-35.98003686020001,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.65, 'e': 0.6770568744981647}",25,0,-80.17522126418476,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.65, 'e': 0.6703200460356393}",25,0,-81.1501687730115,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
42,False,"{'a': 0.65, 'e': 0.6636502501363194}",20,0,-72.76358614722483,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.65, 'e': 0.6570468198150567}",20,0,-74.4837295316572,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.65, 'e': 0.6505090947233165}",30,0,-152.4863118676308,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
45,False,"{'a': 0.65, 'e': 0.6440364210831414}",35,0,-200.07734999393548,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
46,False,"{'a': 0.65, 'e': 0.6376281516217733}",30,0,-122.81062107311247,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
